doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,polymer_used_in_synthesis,surfactant,reaction_type
10.1021.ac50089a007,mistral,mistral-small-latest,./prompts/prompt4.txt,5073.0,19473,284.0,1052,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 N,,6.2,25 °C,"[""p-phenylenediamine hydrochloride"", ""a-naphthol"", ""hydrogen peroxide"", ""potassium cyanide"", ""toluene"", ""McIlvaine buffer"", ""citric acid"", ""sodium hydroxide"", ""chloroform"", ""sand""]",,,TMB+H2O2
10.1002.jsfa.1507,mistral,mistral-small-latest,./prompts/prompt4.txt,8335.0,26720,810.0,2643,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 mM,12.0,5.8,35 °C,"[""La(NO3)3"", ""Ce(NO3)3"", ""Pr(NO3)3"", ""Nd(NO3)3"", ""Sm(NO3)3"", ""Gd(NO3)3"", ""Eu(NO3)3""]",polyvinyl polyprolidone,,H2O2+guaiacol
10.1002.jsfa.1507,mistral,mistral-small-latest,./prompts/prompt4.txt,8335.0,26720,810.0,2643,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 mM,12.0,5.8,4 °C,"[""La(NO3)3"", ""Nd(NO3)3""]",,,H2O2+guaiacol
10.1002.jsfa.1507,mistral,mistral-small-latest,./prompts/prompt4.txt,8335.0,26720,810.0,2643,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 mM,12.0,5.8,4 °C,"[""La(NO3)3"", ""Nd(NO3)3"", ""EDTA""]",,,H2O2+guaiacol
10.1021.acsbiomaterials.8b01528,mistral,mistral-small-latest,./prompts/prompt4.txt,19188.0,61431,564.0,1787,N-CQDs,peroxidase,amorphous,spherical,,,,,,,,,,,,,3.2 nm,3.2,,,0.4913 mmol/L,0.4913,4.38 10^-6 mol/s,0.004379999999999999,,,-4.78 mV,-4.78,,,0.1 mmol/L,0.1,1 mmol/L,1.0,40 mg/mL,40.0,0.8 mmol/L,0.8,4,35 °C,"[""Azadirachta indica leaves"", ""distilled water""]",,,H2O2+TMB
10.1021.acsbiomaterials.8b01528,mistral,mistral-small-latest,./prompts/prompt4.txt,19188.0,61431,564.0,1787,N-CQDs,peroxidase,amorphous,spherical,,,,,,,,,,,,,3.2 nm,3.2,,,0.515 mmol/L,0.515,4.49 10^-6 mol/s,0.00449,,,-4.78 mV,-4.78,,,0.2 mmol/L,0.2,1.2 mmol/L,1.2,40 mg/mL,40.0,0.5 mmol/L,0.5,4,35 °C,"[""Azadirachta indica leaves"", ""distilled water""]",,,TMB+H2O2
10.1016.s0044-328x(79)80087-2,mistral,mistral-small-latest,./prompts/prompt4.txt,5093.0,19055,241.0,810,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 mM,40.0,5.0,25 °C,"[""null""]",,,H2O2+guaiacol
10.1002.cctc.201500849,mistral,mistral-small-latest,./prompts/prompt4.txt,1424.0,5858,201.0,730,Co@C,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1186.1477-7827-7-7,mistral,mistral-small-latest,./prompts/prompt4.txt,5973.0,23356,554.0,1918,,peroxidase,,,,,,,,,,,,,,,,,,,~10 mM,10.0,135.30 10^-6 mol/s,0.1353,,,,,,,,,,,,,60 mM,60.0,7.0,37 °C,"[""Potassium phosphate"", ""EDTA"", ""Sodium azide"", ""Glutathione reductase"", ""GSH"", ""NADPH"", ""Cumene hydroperoxide""]",,,GSH+H2O2
10.1186.1477-7827-7-7,mistral,mistral-small-latest,./prompts/prompt4.txt,5973.0,23356,554.0,1918,,peroxidase,,,,,,,,,,,,,,,,,,,~10 mM,10.0,3.96 10^-6 mol/s,0.00396,,,,,,,,,,,,,60 mM,60.0,7.0,37 °C,"[""Potassium phosphate"", ""EDTA"", ""Sodium azide"", ""Glutathione reductase"", ""GSH"", ""NADPH"", ""Cumene hydroperoxide""]",,,GSH+H2O2
