doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,polymer_used_in_synthesis,surfactant,reaction_type
10.1021.ac50089a007,mistral,mistral-small-latest,./prompts/prompt4.txt,5073,19473,279,1035,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 N,,6.2,25 °C,"[""p-phenylenediamine hydrochloride"", ""a-naphthol"", ""hydrogen peroxide"", ""potassium cyanide"", ""toluene"", ""citric acid"", ""sodium hydroxide"", ""McIlvaine buffer"", ""Sorensen buffer""]",,,TMB+H2O2
10.1002.jsfa.1507,mistral,mistral-small-latest,./prompts/prompt4.txt,8335,26720,272,936,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 mM,12.0,5.8,35 °C,"[""REMF"", ""La"", ""Ce"", ""Pr"", ""Nd"", ""Sm"", ""Gd"", ""Eu""]",,,H2O2+guaiacol
10.1021.acsbiomaterials.8b01528,mistral,mistral-small-latest,./prompts/prompt4.txt,19188,61431,560,1781,N-CQDs,peroxidase,amorphous,spherical,,,,,,,,,,,,,3.2 nm,3.2,,,0.4913 mmol/L,0.4913,4.38 10^-6 mol/s,0.004379999999999999,,,-4.78 mV,-4.78,,,0.1 mmol/L,0.1,1 mmol/L,1.0,40 mg/mL,40.0,0.8 mmol/L,0.8,4,35 °C,"[""Azadirachta indica leaves"", ""distilled water""]",,,H2O2+TMB
10.1021.acsbiomaterials.8b01528,mistral,mistral-small-latest,./prompts/prompt4.txt,19188,61431,560,1781,N-CQDs,peroxidase,amorphous,spherical,,,,,,,,,,,,,3.2 nm,3.2,,,0.515 mmol/L,0.515,4.49 10^-6 mol/s,0.00449,,,-4.78 mV,-4.78,,,0.2 mmol/L,0.2,1.2 mmol/L,1.2,40 mg/mL,40.0,0.5 mmol/L,0.5,4,35 °C,"[""Azadirachta indica leaves"", ""distilled water""]",,,TMB+H2O2
10.1016.s0044-328x(79)80087-2,mistral,mistral-small-latest,./prompts/prompt4.txt,5093,19055,480,1610,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 mM guaiacol,,5.0,25 °C,"[""null""]",,,H2O2+TMB
10.1016.s0044-328x(79)80087-2,mistral,mistral-small-latest,./prompts/prompt4.txt,5093,19055,480,1610,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 mM H2O2,,5.0,25 °C,"[""null""]",,,TMB+H2O2
10.1002.cctc.201500849,mistral,mistral-small-latest,./prompts/prompt4.txt,1424,5858,201,730,Co@C,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1186.1477-7827-7-7,mistral,mistral-small-latest,./prompts/prompt4.txt,5973,23356,548,1912,,peroxidase,,,,,,,,,,,,,,,,,,,,,135.30 10^-6 mol/s,0.1353,,,,,,,,,,,,,100 mM,100.0,7.0,37 °C,"[""Potassium phosphate"", ""EDTA"", ""Sodium azide"", ""Glutathione reductase"", ""GSH"", ""NADPH"", ""Cumene hydroperoxide""]",,,H2O2+GSH
10.1186.1477-7827-7-7,mistral,mistral-small-latest,./prompts/prompt4.txt,5973,23356,548,1912,,peroxidase,,,,,,,,,,,,,,,,,,,,,3.96 10^-6 mol/s,0.00396,,,,,,,,,,,,,100 mM,100.0,7.0,37 °C,"[""Potassium phosphate"", ""EDTA"", ""Sodium azide"", ""Glutathione reductase"", ""GSH"", ""NADPH"", ""Cumene hydroperoxide""]",,,H2O2+GSH
10.1007.bf01186826,mistral,mistral-small-latest,./prompts/prompt4.txt,12392,47293,283,977,,Acid phosphatase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,37 °C,"[""horseradish peroxidase (HRP)"", ""beta-glycerophosphate"", ""cytidine 5'-monophosphate (CMP)"", ""H2O2"", ""3,3'-diaminobenzidine (DAB)""]",,,
10.1016.j.ultsonch.2009.06.014,mistral,mistral-small-latest,./prompts/prompt4.txt,11627,36948,559,1722,Fe3O4,peroxidase,,,,,,,,,,,,,,,,,,,~0.02 mM,0.02,~0.035 min^-1,,,,,,,,0.02 mmol/L,0.02,0.02 mmol/L,0.02,0.5 g/L,0.5,40 mmol/L,40.0,5,55 °C,"[""FeCl3\u00b76H2O"", ""FeSO4\u00b77H2O"", ""NH3\u00b7H2O""]",,,H2O2+TMB
10.1016.j.ultsonch.2009.06.014,mistral,mistral-small-latest,./prompts/prompt4.txt,11627,36948,559,1722,Fe3O4,peroxidase,,,,,,,,,,,,,,,,,,,~0.02 mM,0.02,~0.035 min^-1,,,,,,,,40 mmol/L,40.0,40 mmol/L,40.0,0.5 g/L,0.5,0.02 mmol/L,0.02,5,55 °C,"[""FeCl3\u00b76H2O"", ""FeSO4\u00b77H2O"", ""NH3\u00b7H2O""]",,,TMB+H2O2
10.1016.j.archoralbio.2008.03.003,mistral,mistral-small-latest,./prompts/prompt4.txt,14717,50881,470,1556,,peroxidase,,,,,,,,,,,,,,,,,,,0.042 mmol/ml,42.0,,,,,,,,,,,,,,,2.2 mM,2.2,6,37 °C,[],,,TMB+H2O2
