doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,surface_chemistry,polymer_used_in_synthesis,surfactant,reaction_type
10.1021.ac50089a007,mistral,mistral-large-latest,./prompts/prompt5.txt,5787,19508,277,648,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5 pH,,8.4 pH,,,,,,6.2 pH,25 C,[],,,,H2O2+TMB
10.1002.jsfa.1507,mistral,mistral-large-latest,./prompts/prompt5.txt,9212,26755,323,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.acsbiomaterials.8b01528,mistral,mistral-large-latest,./prompts/prompt5.txt,22219,61466,1027,2329,Carbon Quantum Dots,peroxidase,amorphous,spherical,,,,,,,,,,,,,1-5.5 nm,3.25,1.0,5.5,0.4913 mmol/L,0.4913,4.38 10−6 mol/S,,,,-4.78 mV,-4.78,,,0.1 mmol/L,0.1,1 mmol/L,1.0,40 mg mL−1,,0.8 mmol/L,0.8,4 M at pH 4,35°,"[""Hydrogen peroxide (H 2O 2)"", ""tetramethylbenzedine (TMB)"", ""KBr"", ""KI"", ""glucose"", ""benzoic acid"", ""citric acid"", ""ascorbic acid"", ""cystine (Cys)"", ""valine (Val)"", ""tryptophan (Trp)"", ""alanine (Ala)"", ""aspartic acid (Asp)"", ""phenylalanine (Phe)"", ""serine (Ser)"", ""tyrosine (Tyr)"", ""threonine (Thr)"", ""proline (Pro)""]",,,,H2O2+TMB
10.1021.acsbiomaterials.8b01528,mistral,mistral-large-latest,./prompts/prompt5.txt,22219,61466,1027,2329,Carbon Quantum Dots,peroxidase,amorphous,spherical,,,,,,,,,,,,,1-5.5 nm,3.25,1.0,5.5,0.515 mmol/L,0.515,4.49 10−6 mol/S,,,,-4.78 mV,-4.78,,,0.2 mmol/L,0.2,1.2 mmol/L,1.2,40 mg mL−1,,0.5 mmol/L,0.5,4 M at pH 4,35°,"[""Hydrogen peroxide (H 2O 2)"", ""tetramethylbenzedine (TMB)"", ""KBr"", ""KI"", ""glucose"", ""benzoic acid"", ""citric acid"", ""ascorbic acid"", ""cystine (Cys)"", ""valine (Val)"", ""tryptophan (Trp)"", ""alanine (Ala)"", ""aspartic acid (Asp)"", ""phenylalanine (Phe)"", ""serine (Ser)"", ""tyrosine (Tyr)"", ""threonine (Thr)"", ""proline (Pro)""]",,,,TMB+H2O2
10.1016.s0044-328x(79)80087-2,mistral,mistral-large-latest,./prompts/prompt5.txt,5609,19090,326,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1002.cctc.201500849,mistral,mistral-large-latest,./prompts/prompt5.txt,1611,5893,270,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1186.1477-7827-7-7,mistral,mistral-large-latest,./prompts/prompt5.txt,7069,23391,738,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1007.bf01186826,mistral,mistral-large-latest,./prompts/prompt5.txt,14279,47328,345,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.ultsonch.2009.06.014,mistral,mistral-large-latest,./prompts/prompt5.txt,13269,36983,352,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.archoralbio.2008.03.003,mistral,mistral-large-latest,./prompts/prompt5.txt,17330,50916,548,1476,,peroxidase,,,,,,,,,,,,,,,,,,,0.042 mmol,,,,,,,,,,,,,,,,2.2 mM,2.2,6.0,37 °C,"[""20,70-dichlorofluorescindiacetate (LDADCF)"", ""0.01M sodium hydroxide"", ""0.15M phosphate buffer"", ""2.2 mM hydrogen peroxide solution"", ""1 mM KSCN"", ""5mM GalG2CNP"", ""5mM CaCl2"", ""50mM NaSCN"", ""0.03% serum albumin"", ""0.03% NaN3"", ""50mM MES-buffer"", ""4% paraformaldehyde"", ""0.1% glutaraldehyde"", ""1M HCl"", ""Araldite CY 212"", ""methanolic uranyl acetate"", ""10-nm gold-labelled secondary antibody"", ""10% ethanol"", ""EDTA (2%)"", ""70% ethanol"", ""bovine serum albumin (BSA)""]",,,,TMB+H2O2
10.1016.j.talanta.2019.04.025,mistral,mistral-large-latest,./prompts/prompt5.txt,8919,27627,669,1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.s0024-3205(98)00527-x,mistral,mistral-large-latest,./prompts/prompt5.txt,7598,25119,811,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.phytochem.2007.02.003,mistral,mistral-large-latest,./prompts/prompt5.txt,9381,28722,530,1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.snb.2019.126876,mistral,mistral-large-latest,./prompts/prompt5.txt,9812,31520,324,718,Pd,oxidase,cubic,spherical,,,,,,,,,,,,,3.8 nm,3.8,,,0.15 mM,0.15,3.8x10-8 M s-1,,,,,,,,,,,,0.2 mg mL-1,,,,4,,"[""NaBH4"", ""K2PdCl6"", ""DTT""]",DTT,,,TMB+O2
10.1556.aalim.35.2006.3.3,mistral,mistral-large-latest,./prompts/prompt5.txt,6305,19610,568,1369,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,70 °C,"[""guaiacol"", ""H2O2""]",,,,H2O2+guaiacol
10.1556.aalim.35.2006.3.3,mistral,mistral-large-latest,./prompts/prompt5.txt,6305,19610,568,1369,,lipoxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,70 °C,"[""linoleic acid"", ""Tween 20"", ""NaOH""]",,,,linoleic acid
10.4025.actascitechnol.v32i1.4828,mistral,mistral-large-latest,./prompts/prompt5.txt,9347,27451,602,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1111.j.1365-2222.1996.tb00616.x,mistral,mistral-large-latest,./prompts/prompt5.txt,13033,40514,321,762,GSH-Px,glutathione peroxidase,,,,,,,,,,,,,,,,,,,0.3 mmol/L,0.3,,,,,,,,,,,,,,,,,,37 °C,"[""glutathione reductase"", ""glutathione"", ""NADPH"", ""t-butylhydroperoxide""]",,,,TMB+H2O2
10.1021.ic0343861,mistral,mistral-large-latest,./prompts/prompt5.txt,20422,56243,606,1347,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,10 mM,10.0,,,,,,,,,1 mM,1.0,50 mM,50.0,0.2 µM to 1 µM,,2.5 mM to 100 mM,,5.0 pH,298 K,[],,,,H2O2+TMB
10.1021.ic0343861,mistral,mistral-large-latest,./prompts/prompt5.txt,20422,56243,606,1347,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mM,2.5,100 mM,100.0,0.2 µM to 1 µM,,1 mM to 50 mM,,5.0 pH,298 K,[],,,,TMB+H2O2
10.1023.b:ticu.0000049439.36866.4e,mistral,mistral-large-latest,./prompts/prompt5.txt,5668,19026,307,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1039.c9tb01731c,mistral,mistral-large-latest,./prompts/prompt5.txt,18109,48120,708,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.acsabm.9b01012,mistral,mistral-large-latest,./prompts/prompt5.txt,19047,53115,1202,2826,BSA-PtAu@CNS,peroxidase,,nanosheet,100-200 nm,150.0,100.0,200.0,100-200 nm,150.0,100.0,200.0,,,,,,,,,0.005 mM,0.005,26.17 mM/s,26.17,921.336 cm3 g-1,,,,,,2 mM,2.0,2 mM,2.0,20 μg mL-1,,5 mM,5.0,4.0,37 °C,"[""Zinc nitrate hexahydrate (Zn(NO3)2\u00b76H2O)"", ""2-Methylimidazole (C4H6N2)"", ""Chloroplatinic(IV) acid hexahydrate (H2PtCl6\u00b76H2O)"", ""Ethanol (C2H5OH)"", ""Potassium hydroxide (KOH)"", ""Hydrogen peroxide 30% aqueous solution (H2O2)"", ""Sodium acetate (C2H3NaO2)"", ""Glacial acetic acid (C2H4O2)"", ""Sodium borohydride (NaBH4)"", ""Tetrachloroauric(III) acid tetrahydrate (HAuCl4\u00b74H2O)"", ""3,3\u2032,5,5\u2032-Tetramethylbenzidine (TMB, C16H20N2)"", ""Albumin from Bovine Serum""]",BSA,,,H2O2+TMB
