Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
,,peroxidase,2.55,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000
0.02,,peroxidase,2.75,1.1142857142857143,-0.015428571428571427,5,55.0,,-1.6989700043360187,-1.6989700043360187,0.02,0.02,1.6020599913279625,40.0,-0.3010299956639812,0.5,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10001
0.02,,peroxidase,2.75,1.1142857142857143,-0.015428571428571427,5,55.0,,1.6020599913279625,1.6020599913279625,40.0,40.0,-1.6989700043360187,0.02,-0.3010299956639812,0.5,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10002
0.01,0.001,peroxidase,2.675,1.0,-0.13,3.5,50.0,,-0.6989700043360187,0.3010299956639812,0.2,2.0,0.6989700043360189,5.0,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10003
0.05,0.002,peroxidase,2.675,1.0,-0.13,3.5,50.0,,-0.6989700043360187,1.6989700043360187,0.2,50.0,-0.22184874961635637,0.6,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10004
0.15,3.8e-05,oxidase,2.2,0.73,0.0,4,25.0,3.0,,,,,,,-0.6989700043360187,0.2,1.7393507898504303,,,,,,,,,,,,,,,226.0,52.0,,,,5.992738620139414,,-0.39829862998965665,0.03733732813242442,,10005
,,peroxidase,2.28,0.94,0.0,,,3.0,,,,,,,,,5.096910013008056,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10006
32.11,,peroxidase,2.6666666666666665,1.1766666666666667,-0.29,5.5,25.0,3.0,,,,,,,-1.0,0.1,1.632204133050827,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10007
,,peroxidase,2.6666666666666665,1.1766666666666667,-0.29,5.5,50.0,3.0,,,,,,,-1.0,0.1,1.632204133050827,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10008
84.8,,catalase,2.6666666666666665,1.1766666666666667,-0.29,5.5,25.0,3.0,1.6532125137753437,2.7781512503836434,45.0,600.0,,,-1.0,0.1,1.632204133050827,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10009
