Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
,,1.0,,,,6.2,25.0,,,,,,,,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10001
,,1.0,,,,5.8,35.0,,,,,,1.0791812460476249,12.0,,,,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,,40.5,29.5,20.3,0.4,6.0,8.98550925925926,-0.254557430614467,-0.254557430614467,-2.048432760843659,10002
,,1.0,,,,5.8,4.0,,,,,,1.0791812460476249,12.0,,,,,,,,,,,,,,,,,,,40.5,29.5,,,6.0,8.98550925925926,-0.254557430614467,-0.254557430614467,,10003
,,1.0,,,,5.8,4.0,,,,,,1.0791812460476249,12.0,,,,,,,,,,,,,,,,,,,40.5,29.5,,,6.0,8.98550925925926,-0.254557430614467,-0.254557430614467,,10004
0.4913,0.0043799999999999,1.0,,,,4,35.0,3.0,-1.0,0.0,0.1,1.0,-0.09691001300805639,0.8,1.6020599913279625,40.0,1.5154499349597181,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10005
0.515,0.00449,1.0,,,,4,35.0,3.0,-0.6989700043360187,0.07918124604762482,0.2,1.2,-0.3010299956639812,0.5,1.6020599913279625,40.0,1.5154499349597181,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10006
,,1.0,,,,5.0,25.0,,,,,,1.6020599913279625,40.0,,,,,,,,,,,,,,,,,,,40.5,29.5,,,6.0,8.98550925925926,-0.254557430614467,-0.254557430614467,,10007
,,1.0,2.215,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10008
10.0,0.1353,1.0,,,,7.0,37.0,,,,,,1.7781512503836436,60.0,,,,,,,,,,,,,,,,,,389.0,160.0,40.5,,,11.50371351935836,6.0,-0.48008628646213053,0.32247070702770475,,10009
10.0,0.00396,1.0,,,,7.0,37.0,,,,,,1.7781512503836436,60.0,,,,,,,,,,,,,,,,,,389.0,160.0,40.5,,,11.50371351935836,6.0,-0.48008628646213053,0.32247070702770475,,10010
,,6.0,,,,7.4,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10011
0.02,,1.0,2.75,1.1142857142857143,-0.015428571428571427,5.0,55.0,,,,,,1.6020599913279625,40.0,-0.3010299956639812,0.5,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10012
42.0,,1.0,,,,6,37.0,,,,,,0.3424226808222063,2.2,,,,,,,,,,,,,,,,,,,,40.5,,,,6.0,,,,10013
33.0,,1.0,,,,6,37.0,,,,,,0.3424226808222063,2.2,,,,,,,,,,,,,,,,,,,,40.5,,,,6.0,,,,10014
0.01,0.001,1.0,2.675,,-0.13,3.5,50.0,3.0,-0.6989700043360187,1.6989700043360187,0.2,50.0,-0.22184874961635637,0.6,-1.6989700043360187,0.02,3.0,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10015
0.01,0.001,1.0,2.675,,-0.13,3.5,50.0,3.0,-0.6989700043360187,0.3010299956639812,0.2,2.0,0.6989700043360189,5.0,-1.6989700043360187,0.02,3.0,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10016
,,1.0,,,,7.4,37.0,,,,,,0.6232492903979004,4.2,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10017
,,1.0,,,,7.4,37.0,,,,,,0.06069784035361165,1.15,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10018
