formula,activity,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
Co@C,peroxidase,,,,,,,,,,,,,,,,,10001
Fe3O4,peroxidase,,,,,,0.02,,H2O2+TMB,0.02,0.02,40.0,0.5,5,55.0,,,10002
Fe3O4,peroxidase,,,,,,0.02,,TMB+H2O2,40.0,40.0,0.02,0.5,5,55.0,,,10003
NiO,peroxidase,,,,,,0.01,0.001,TMB+H2O2,0.2,2.0,5.0,0.02,3.5,50.0,,415.0,10004
NiO,peroxidase,,,,,,0.05,0.002,H2O2+TMB,0.2,50.0,0.6,0.02,3.5,50.0,,415.0,10005
Pd,oxidase,3.8,3.8,3.8,,,0.15,3.8e-05,TMB,,,,0.2,4,25.0,,,10006
Pt,peroxidase,50.0,50.0,50.0,,,,,H2O2,,,,,,,,,10007
CeO2,peroxidase,3.5,3.5,3.5,,,32.11,,H2O2+TMB,,,,0.1,5.5,25.0,,,10008
CeO2,peroxidase,3.5,3.5,3.5,,,,,H2O2+TMB,,,,0.1,5.5,50.0,,,10009
CeO2,catalase,3.5,3.5,3.5,,,84.8,,H2O2,45.0,600.0,,0.1,5.5,25.0,,,10010
CeO2,catalase,3.5,3.5,3.5,,,70.5,,H2O2,45.0,600.0,,0.1,5.5,50.0,,,10011
Fe3O4,peroxidase,10.0,10.0,10.0,poly(N-Vinylpyrrolidone),cetrimonium bromide,0.01,0.01,H2O2+TMB,0.001,0.1,0.1,0.01,7,25.0,20.0,100.0,10012
Fe3O4,peroxidase,10.0,10.0,10.0,poly(N-Vinylpyrrolidone),cetrimonium bromide,0.01,0.01,TMB+H2O2,0.001,0.1,0.1,0.01,7,25.0,20.0,100.0,10013
CaO2,peroxidase,90.0,90.0,90.0,,,,,,,,,,,35.0,,,10014
MnO2,peroxidase,1.2,1.2,1.2,poly(allylamine hydrochloride),,,,,,,,,6.5,,,,10015
V2O5,peroxidase,745.0,60.0,,,,0.0444,0.003205,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,32.9,10016
V2O5,peroxidase,620.0,25.0,,,,0.0573,0.003885,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,6.2,10017
V2O5,peroxidase,5400.0,,,,,0.0925,0.0056683333333333,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,21.1,10018
V2O5,peroxidase,335.0,335.0,335.0,,,0.1437,0.007645,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,9.6,10019
Fe3O4,peroxidase,5.0,5.0,5.0,,,0.25,,H2O2+TMB,0.0001,0.2,0.1,0.05,4.0,25.0,,,10020
