formula,activity,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
Co@C,peroxidase,,,,,,,,,,,,,,,,,10007.0
Fe3O4,peroxidase,,,,,,0.02,,H2O2+TMB,0.02,0.02,40.0,0.5,5,55.0,,,10011.0
Fe3O4,peroxidase,,,,,,0.02,,TMB+H2O2,40.0,40.0,0.02,0.5,5,55.0,,,10012.0
NiO,peroxidase,,,,,,0.01,0.001,TMB+H2O2,0.2,2.0,5.0,0.02,3.5,50.0,,415.0,10015.0
NiO,peroxidase,,,,,,0.05,0.002,H2O2+TMB,0.2,50.0,0.6,0.02,3.5,50.0,,415.0,10016.0
Pd,oxidase,3.8,3.8,3.8,,,0.15,3.8e-05,TMB,,,,0.2,4,25.0,,,10020.0
Pt,peroxidase,50.0,50.0,50.0,,,,,H2O2,,,,,,,,,10032.0
CeO2,peroxidase,3.5,3.5,3.5,,,32.11,,H2O2+TMB,,,,0.1,5.5,25.0,,,10033.0
CeO2,peroxidase,3.5,3.5,3.5,,,,,H2O2+TMB,,,,0.1,5.5,50.0,,,10034.0
CeO2,catalase,3.5,3.5,3.5,,,84.8,,H2O2,45.0,600.0,,0.1,5.5,25.0,,,10035.0
CeO2,catalase,3.5,3.5,3.5,,,70.5,,H2O2,45.0,600.0,,0.1,5.5,50.0,,,10036.0
Fe3O4,peroxidase,10.0,10.0,10.0,poly(N-Vinylpyrrolidone),cetrimonium bromide,0.01,0.01,H2O2+TMB,0.001,0.1,0.1,0.01,7,25.0,20.0,100.0,10058.0
Fe3O4,peroxidase,10.0,10.0,10.0,poly(N-Vinylpyrrolidone),cetrimonium bromide,0.01,0.01,TMB+H2O2,0.001,0.1,0.1,0.01,7,25.0,20.0,100.0,10059.0
CaO2,peroxidase,90.0,90.0,90.0,,,,,,,,,,,35.0,,,10060.0
MnO2,peroxidase,1.2,1.2,1.2,poly(allylamine hydrochloride),,,,,,,,,6.5,,,,10064.0
V2O5,peroxidase,745.0,60.0,,,,0.0444,0.003205,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,32.9,10075.0
V2O5,peroxidase,620.0,25.0,,,,0.0573,0.003885,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,6.2,10076.0
V2O5,peroxidase,5400.0,,,,,0.0925,0.0056683333333333,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,21.1,10077.0
V2O5,peroxidase,335.0,335.0,335.0,,,0.1437,0.007645,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,9.6,10078.0
Fe3O4,peroxidase,5.0,5.0,5.0,,,0.25,,H2O2+TMB,0.0001,0.2,0.1,0.05,4.0,25.0,,,10088.0
CoO,peroxidase,4.5,4.5,4.5,,,3.29,,H2O2+TMB,0.2,30.0,0.7,0.03,4.5,37.0,,489.0,10089.0
MoS2,peroxidase,10.0,10.0,10.0,,,4.82,8.87e-06,TMB+H2O2,,,10.0,,4.0,25.0,,,10096.0
MoS2,peroxidase,60.0,60.0,60.0,,,0.4,0.0001669999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10097.0
MoS2,peroxidase,20.0,20.0,20.0,,,2.65,0.0003319999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10098.0
MoS2,peroxidase,10.0,10.0,10.0,,,23.5,9.85e-07,H2O2+TMB,,,0.1,,4.0,25.0,,,10099.0
MoS2,peroxidase,60.0,60.0,60.0,,,7.54,0.000355,H2O2+TMB,,,0.1,,4.0,25.0,,,10100.0
MoS2,peroxidase,20.0,20.0,20.0,,,17.19,4.599999999999999e-05,H2O2+TMB,,,0.1,,4.0,25.0,,,10101.0
Na2SeO3,peroxidase,,,,,,,,H2O2+TMB,,,,,,,,,10114.0
C,peroxidase,100.0,100.0,100.0,,,0.05,0.001,TMB+H2O2,0.001,0.1,0.1,0.01,4.5,37.0,,,10118.0
C,peroxidase,100.0,100.0,100.0,,,0.05,0.001,H2O2+TMB,0.001,0.1,0.1,0.01,4.5,37.0,,,10119.0
MoS2,peroxidase,1.63,1.63,1.63,,,6.64,0.000107,H2O2+TMB,,,0.1,,4.0,25.0,,,10120.0
MoS2,peroxidase,1.63,1.63,1.63,,,0.52,0.0002339999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10121.0
MoS2,peroxidase,1.63,1.63,1.63,,,15.85,1.6499999999999998e-05,H2O2+TMB,,,0.1,,4.0,25.0,,,10122.0
MoS2,peroxidase,1.63,1.63,1.63,,,1.71,0.000175,TMB+H2O2,,,10.0,,4.0,25.0,,,10123.0
Pd,peroxidase,4.8,4.8,4.8,,,0.033,25.69,TMB+H2O2,,,125.0,,4.0,20.0,,,10125.0
Pd,peroxidase,4.8,4.8,4.8,,,91.29,34.05,H2O2+TMB,,,0.125,,4.0,20.0,,,10126.0
Pd,peroxidase,5.1,5.1,5.1,,,0.045,40.68,TMB+H2O2,,,125.0,,4.0,20.0,,,10127.0
Pd,peroxidase,5.1,5.1,5.1,,,63.86,41.63,H2O2+TMB,,,0.125,,4.0,20.0,,,10128.0
Pd,peroxidase,4.8,4.8,4.8,,,0.04,22.83,TMB+H2O2,,,125.0,,4.0,20.0,,,10129.0
Pd,peroxidase,4.8,4.8,4.8,,,97.02,29.67,H2O2+TMB,,,0.125,,4.0,20.0,,,10130.0
Pd@Pt,catalase,40.0,40.0,40.0,Pluronic F127,Ascorbic acid,,,,,,,,,35.0,,,10147.0
Mn3O4,catalase,100.0,100.0,100.0,,oleic acid,,,,,,,,,25.0,,,10148.0
Fe3O4@Pt,peroxidase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,22.17,,H2O2+TMB,0.0,10.0,,0.0005,4.0,50.0,-30.0,,10152.0
Fe3O4@Pt,catalase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,H2O2,0.0,30.0,,,2-11,,-30.0,,10153.0
Fe3O4@Pt,oxidase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,glucose,1.0,4.0,,,,,-30.0,,10154.0
Fe3O4@Pt,superoxide dismutase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,O2•−,,,,,,,-30.0,,10155.0
Au,peroxidase,100.0,100.0,100.0,Pluronic F127,,0.01,0.001,TMB+H2O2,0.01,1.0,0.1,0.01,6.0,25.0,-20.0,,10156.0
Au,peroxidase,100.0,100.0,100.0,Pluronic F127,,0.01,0.001,TMB+H2O2,0.01,1.0,0.1,0.01,6.0,25.0,-47.0,,10157.0
Mn3[Co(CN)6]2,catalase,80.0,80.0,80.0,poly(N-Vinylpyrrolidone),,,,H2O2,,,1.0,,6.5,25.0,,,10158.0
Mn3[Co(CN)6]2,catalase,80.0,80.0,80.0,poly(N-Vinylpyrrolidone),,0.029,,H2O2,,,10.0,,6.5,25.0,,,10159.0
CeO2,catalase,6.0,6.0,6.0,,,,,,,,,,,50.0,50.0,,10176.0
Na2SeO3,peroxidase,,,,,,,,H2O2+TMB,,,0.25,,7.4,4.0,,,10178.0
Na2SeO3,peroxidase,,,,,,,,TMB+H2O2,,,0.25,,7.4,4.0,,,10179.0
MnO2,peroxidase,,45.0,,poly(ethylene glycol),,0.08,0.0006,ABTS+H2O2,0.001,1.0,3.0,,3.5,25.0,,,10180.0
MnO2,peroxidase,,45.0,,poly(ethylene glycol),,0.06,0.0006,H2O2+ABTS,0.01,3.0,1.0,,3.5,25.0,,,10181.0
C,peroxidase,30.0,30.0,30.0,,,,,TMB+H2O2,1e-05,0.5,8.0,0.5,4.0,25.0,,,10182.0
C,peroxidase,30.0,30.0,30.0,,,,,H2O2+TMB,0.0005,1.0,8.0,0.5,4.0,37.0,,,10183.0
C,peroxidase,30.0,30.0,30.0,,,,,H2O2+TMB,0.0005,1.0,20.0,0.5,4.0,25.0,,,10184.0
C,peroxidase,30.0,30.0,30.0,,,,,H2O2+TMB,0.01,0.075,20.0,0.5,4.0,25.0,,,10185.0
C6H8N2O2Se,peroxidase,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10200.0
C8H12N2O2Se,peroxidase,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10201.0
Na2SeO3,peroxidase,,,,,,0.17,,H2O2+TMB,,,0.17,,7.0,30.0,,,10209.0
Na2SeO3,peroxidase,,,,,,0.17,,TMB+H2O2,,,0.17,,7.0,30.0,,,10210.0
Fe3O4,peroxidase,350.0,350.0,350.0,,,,,H2O2+BA,4e-05,0.02,1.4,1.0,3.0,25.0,,,10212.0
Fe3O4,peroxidase,350.0,350.0,350.0,,,,,Glucose+O2,5e-05,0.01,1.4,1.0,7.0,25.0,,,10213.0
Fe3O4,peroxidase,350.0,350.0,350.0,,,,,PNP+H2O2,0.0001,0.03,0.008,1.0,3.0,25.0,,,10214.0
Au,peroxidase,14.0,14.0,14.0,,,0.2,,TMB+H2O2,,,373.0,0.0477999999999999,3.6,25.0,,,10223.0
Au,peroxidase,14.0,14.0,14.0,,,572.0,,H2O2+TMB,,,,0.0477999999999999,3.6,25.0,,,10224.0
Au,peroxidase,14.0,14.0,14.0,,,92.3,,ABTS+H2O2,,,,0.0477999999999999,3.6,25.0,,,10225.0
Au,peroxidase,14.0,14.0,14.0,,,546.0,,H2O2+ABTS,,,,0.0477999999999999,3.6,25.0,,,10226.0
Pd,peroxidase,19.2,19.2,19.2,poly(N-Vinylpyrrolidone),,0.048,0.0003,TMB+H2O2,,,2000.0,,4.0,25.0,,33.33,10253.0
Pd,peroxidase,19.5,19.5,19.5,poly(N-Vinylpyrrolidone),,0.095,0.00052,TMB+H2O2,,,2000.0,,4.0,25.0,,38.46,10254.0
Cu(OH)2,peroxidase,200.0,150.0,150.0,poly(N-Vinylpyrrolidone),,1.335,0.000421,TMB+H2O2,1e-07,0.0001,0.53,,4.5,25.0,,136.0,10255.0
Cu(OH)2,peroxidase,200.0,150.0,150.0,poly(N-Vinylpyrrolidone),,0.379,0.000391,H2O2+TMB,1e-07,0.0001,0.8,,4.5,25.0,,136.0,10256.0
Au-Ag,peroxidase,60.0,60.0,60.0,poly(N-Vinylpyrrolidone),,0.05,1e-05,H2O2+TMB,0.05,0.5,50.0,0.001,4.5,25.0,2.3,,10261.0
Au-Ag,peroxidase,60.0,60.0,60.0,poly(N-Vinylpyrrolidone),,0.05,1e-05,TMB+H2O2,0.05,0.5,50.0,0.001,4.5,25.0,2.3,,10262.0
