formula,activity,shape,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
,peroxidase,,,,,,,,,TMB+H2O2,,,,,6.2,25.0,,,10001
,peroxidase,,,,,Poly(N-Vinylpyrrolidone),,,,H2O2+guaiacol,,,12.0,,5.8,35.0,,,10002
,peroxidase,,,,,,,,,H2O2+guaiacol,,,12.0,,5.8,4.0,,,10003
,peroxidase,,,,,,,,,H2O2+guaiacol,,,12.0,,5.8,4.0,,,10004
N-CQDs,peroxidase,spherical,3.2,3.2,3.2,,,0.4913,0.0043799999999999,H2O2+TMB,0.1,1.0,0.8,40.0,4,35.0,-4.78,,10005
N-CQDs,peroxidase,spherical,3.2,3.2,3.2,,,0.515,0.00449,TMB+H2O2,0.2,1.2,0.5,40.0,4,35.0,-4.78,,10006
,peroxidase,,,,,,,,,H2O2+guaiacol,,,40.0,,5.0,25.0,,,10007
Co@C,peroxidase,,,,,,,,,,,,,,,,,,10008
,peroxidase,,,,,,,10.0,0.1353,GSH+H2O2,,,60.0,,7.0,37.0,,,10009
,peroxidase,,,,,,,10.0,0.00396,GSH+H2O2,,,60.0,,7.0,37.0,,,10010
,phosphatase,,,,,,,,,H2O2 + TMB,,,,,7.4,37.0,,,10011
Fe3O4,peroxidase,,,,,,,0.02,,H2O2+TMB,,,40.0,0.5,5.0,55.0,,,10012
,peroxidase,,,,,,,42.0,,LDCF+H2O2,,,2.2,,6,37.0,,,10013
,peroxidase,,,,,,,33.0,,LDCF+H2O2,,,2.2,,6,37.0,,,10014
NiO,peroxidase,nanostructure,10.0,10.0,10.0,,,0.01,0.001,H2O2+TMB,0.2,50.0,0.6,0.02,3.5,50.0,,415.0,10015
NiO,peroxidase,nanostructure,10.0,10.0,10.0,,,0.01,0.001,TMB+H2O2,0.2,2.0,5.0,0.02,3.5,50.0,,415.0,10016
,peroxidase,,,,,,,,,TMB+H2O2,,,4.2,,7.4,37.0,,,10017
,peroxidase,,,,,,,,,H2O2+TMB,,,1.15,,7.4,37.0,,,10018
,peroxidase,,,,,,,,,H2O2,,,,,4.5,23.0,,,10019
Pd,oxidase,spherical,3.8,3.8,3.8,,,0.15,3.8e-05,TMB+O2,,,,0.2,4,25.0,,,10020
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6.0,70.0,,,10021
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6.0,80.0,,,10022
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6.0,90.0,,,10023
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6.0,100.0,,,10024
,oxidase,,,,,,,,,linoleic acid+O2,,,,,7.0,70.0,,,10025
,oxidase,,,,,,,,,linoleic acid+O2,,,,,7.0,80.0,,,10026
,oxidase,,,,,,,,,linoleic acid+O2,,,,,7.0,90.0,,,10027
,oxidase,,,,,,,,,linoleic acid+O2,,,,,7.0,100.0,,,10028
,peroxidase,,,,,,,0.03,,H2O2+TMB,,,,,6.2,25.0,,,10029
,peroxidase,,,,,,,,,catechol,,,,,7.5,30.0,,,10030
,glutathione peroxidase,,,,,,,,,,,,,,7.4,37.0,,,10031
u-cytc550,peroxidase,,,,,,,10.8,,H2O2+gc,2.5,100.0,10.0,,5.0,,,,10032
u-cytc550,peroxidase,,,,,,,232.0,,gc+H2O2,1.0,50.0,10.0,,5.0,,,,10033
u-cytc550,peroxidase,,,,,,,4.7,,gc+H2O2,1.0,50.0,10.0,,5.0,,,,10034
u-cytc550,peroxidase,,,,,,,236.0,,H2O2+gc,2.5,100.0,10.0,,5.0,,,,10035
,peroxidase,,,,,,,,,,,,,,7.8,4.0,,,10036
,superoxide dismutase,,,,,,,,,,,,,,7.8,4.0,,,10037
BSA-PtAu@CNS,peroxidase,spherical,150.0,150.0,150.0,BSA,,0.005,26.17,TMB+H2O2,0.01,100.0,5.0,0.02,4.0,37.0,,,10038
BSA-PtAu@CNS,peroxidase,spherical,150.0,150.0,150.0,BSA,,0.23,8.16,H2O2+TMB,0.01,2.0,5.0,0.02,4.0,37.0,,,10039
,,,,,,,,,,,,,,,,,,,10040
CeO2,peroxidase,spherical,3.5,3.5,3.5,,,32.11,,H2O2+TMB,,,,0.1,5.5,25.0,,,10041
CeO2,peroxidase,spherical,3.5,3.5,3.5,,,27.54,,H2O2+TMB,,,,0.1,5.5,50.0,,,10042
CeO2,catalase,spherical,3.5,3.5,3.5,,,84.8,,H2O2,45.0,600.0,,0.1,5.5,25.0,,,10043
CeO2,catalase,spherical,3.5,3.5,3.5,,,70.5,,H2O2,45.0,600.0,,0.1,5.5,50.0,,,10044
,peroxidase,,,,,,,,,H2O2+TMB,0.01,1.0,1.0,,7,25.0,,,10045
,peroxidase,,,,,,,,,TMB+H2O2,0.01,1.0,1.0,,7,25.0,,,10046
,peroxidase,,,,,,,,,,,,,,5,30.0,,,10047
,peroxidase,,,,,,,,,,,,,,5,30.0,,,10048
,peroxidase,,,,,,,,,,,,,,5,30.0,,,10049
,peroxidase,,,,,,,,,,,,,,5,30.0,,,10050
,peroxidase,,,,,,,,,,,,,,5,30.0,,,10051
,peroxidase,,,,,,,,,,,,,,5,30.0,,,10052
,glutathione peroxidase,,,,,,,,,,,,,,,,,,10053
HRP,peroxidase,,,,,,,1.112,,H2O2+TMB,2.78,890.0,40.0,,5.0,25.0,,,10054
HRP,peroxidase,,,,,,,40.0,,TMB+H2O2,2.5,160.0,11.12,,5.0,25.0,,,10055
,peroxidase,,,,,,,,,guaicol + H2O2,,,0.33,,6,27.0,,,10056
,peroxidase,,,,,Poly(N-Vinylpyrrolidone),Triton X-100,,,4-methylcatechol,,,,,6.8,25.0,,,10057
,peroxidase,,,,,Poly(N-Vinylpyrrolidone),,,,tropolone + hydrogen peroxide,,,,,6.5,1.0,,,10058
,,,,,,,,,,,,,,,,,,,10059
,peroxidase,,,,,,,13.0,,H2O2+guaiacol,,,5.0,,6.5,25.0,,,10060
